Year,Month,Danceability,Danceability,Energy,Energy,Speechiness,Speechiness,Acousticness,Acousticness,Instrumentalness,Instrumentalness,Liveness
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean
1984,3,0.7050961538461539,0.12723488540234718,0.7189807692307693,0.16753653278913389,0.049140384615384614,0.01819689975335041,0.11266365384615384,0.07089737045453817,0.00045524269230769236,0.0010733820414549984,0.21991538461538462
1984,4,0.7028604651162791,0.11762057266509218,0.6575813953488372,0.194244106677549,0.04797906976744186,0.01916153833842723,0.156073488372093,0.13617725547597914,0.0007227544186046512,0.0015843790751003137,0.21522558139534884
1984,5,0.7055660377358491,0.11614141072813618,0.6521886792452831,0.170090027813754,0.04856226415094339,0.020349317002478093,0.16803094339622643,0.13947178228897097,0.0008032464150943396,0.0017738860216724686,0.16736603773584907
1984,6,0.6974929577464789,0.12040121893538605,0.6588732394366197,0.18895743508431162,0.04722253521126761,0.01806200587803105,0.1614788732394366,0.14271210872191303,0.00215354014084507,0.006974354808655471,0.16419718309859155
1984,7,0.6925166666666667,0.13079243378140526,0.65015,0.17914938610660341,0.04615166666666667,0.018085245336186526,0.16799099999999997,0.15033452606702363,0.02067498466666667,0.09613270271342791,0.1879
1984,8,0.69021875,0.13441495437754483,0.69925,0.17770583861923356,0.044846875,0.015950986124165907,0.15557375,0.15291764302270372,0.036053710625,0.12933017920590384,0.188146875
1984,9,0.7016233766233766,0.13159907604069335,0.7422077922077922,0.16321678655140465,0.04582337662337662,0.015901174204440774,0.13603506493506495,0.11962269451799573,0.010942368831168833,0.060897129209672995,0.19854285714285716
1984,10,0.6734375,0.131247517707023,0.7571041666666667,0.17457099264090586,0.047420833333333336,0.014070808144665025,0.12619708333333332,0.12746330068337036,0.005447030208333333,0.010889415979405601,0.209125
1984,11,0.668245283018868,0.12205813647293358,0.7319622641509435,0.16173672365727712,0.0466811320754717,0.015185165542064826,0.170517358490566,0.17143359640835756,0.00578113962264151,0.010409346405638016,0.19041509433962264
1984,12,0.6694716981132075,0.11285313869967752,0.7286981132075472,0.13489676749643387,0.04316415094339623,0.013306477519493204,0.2092466037735849,0.17788317599938575,0.0045836264150943395,0.00888020848937835,0.17524528301886794
1985,1,0.6536585365853659,0.12530135868299627,0.7148536585365854,0.1382910989499342,0.04296829268292683,0.013227933304647221,0.22846829268292684,0.17681871640047667,0.003164491707317073,0.00666928680291525,0.15460000000000002
1985,2,0.650575,0.13240746890003155,0.712025,0.1416583987029252,0.044175,0.014305848723242805,0.23051249999999998,0.16813030613111837,0.0034252137500000003,0.006712299806888647,0.138775
1985,3,0.6308837209302326,0.12665705652184334,0.6804186046511628,0.13482267587961597,0.040095348837209305,0.012718171354935841,0.25187906976744184,0.15499488979001477,0.0022324848837209305,0.0038065587535409083,0.12015116279069768
1985,4,0.6246666666666667,0.1275210389881426,0.6826296296296297,0.13912975353636012,0.040603703703703704,0.012939191553674366,0.26122222222222224,0.13167218424011998,0.001578514074074074,0.001988472818292121,0.10481481481481482
1985,5,0.6549,0.1206944380177523,0.7032,0.12598228781104615,0.040895,0.013168841814557653,0.20194,0.11655839918707116,0.001173084,0.001829340629419878,0.10971
1985,6,0.6739166666666666,0.07452278126543743,0.8040833333333333,0.09471325909963905,0.04792083333333333,0.019262443277385473,0.21045833333333333,0.2317542231061523,0.00169819875,0.0026183088631443214,0.13741666666666666
1985,7,0.674551724137931,0.07568665961283899,0.8138275862068965,0.09700481172363022,0.05615517241379311,0.021135423653310715,0.20576206896551721,0.23566694024435825,0.0025391672413793104,0.0029751576986797768,0.1324
1985,8,0.655151515151515,0.06276101557302573,0.8246060606060606,0.10922652476446008,0.054266666666666664,0.019746386800289988,0.12126363636363635,0.15428586863793986,0.005621810606060606,0.011762793594673828,0.13990303030303028
1985,9,0.6483448275862069,0.05063897134341507,0.8047586206896552,0.1372223573965195,0.048031034482758625,0.019345931714229367,0.08234137931034483,0.06620608257145356,0.006776820689655173,0.014265615446737639,0.11158620689655172
1985,10,0.6557200000000001,0.044754441120407266,0.78408,0.13430187390104928,0.049764,0.019832693547103816,0.089008,0.06891494709664467,0.0078612824,0.01511767399580683,0.10736000000000001
1985,11,0.622804347826087,0.07194337883679155,0.8383478260869566,0.13352256861108694,0.051119565217391305,0.02435050188453999,0.12753913043478263,0.13802496147559024,0.00545395,0.012823452654395037,0.16578695652173914
